product_type,product_name,product_description,brand,model_series,min_stock_threshold,reorder_point,is_discontinued,meta_title,meta_description,slug,keywords,og_image,product_highlights,long_description,is_published,product_video_url,product_video_file,tag_ids,brand_ids,is_global
PH,Apple iphone 7,Apple Apple iphone 7 iphone 7,Apple,iphone 7,5,10,False,Apple iphone 7 - Apple - Affordable Gadgets,"Explore the Apple iphone 7 by Apple, a high-quality phone.",apple-iphone-7,"apple, apple iphone 7, iphone 7, phone",,[],"Discover the Apple iphone 7 iphone 7 from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A70,Samsung Samsung A70 a70,Samsung,a70,5,10,False,Samsung A70 - Samsung - Affordable Gadgets,"Explore the Samsung A70 by Samsung, a high-quality phone.",samsung-a70,"a70, phone, samsung, samsung a70",,[],"Discover the Samsung A70 a70 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple iphone 11,Apple Apple iphone 11 iphone 11,Apple,iphone 11,5,10,False,Apple iphone 11 - Apple - Affordable Gadgets,"Explore the Apple iphone 11 by Apple, a high-quality phone.",apple-iphone-11,"apple, apple iphone 11, iphone 11, phone",,[],"Discover the Apple iphone 11 iphone 11 from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A50,Samsung Samsung A50 a50,Samsung,a50,5,10,False,Samsung A50 - Samsung - Affordable Gadgets,"Explore the Samsung A50 by Samsung, a high-quality phone.",samsung-a50,"a50, phone, samsung, samsung a50",,[],"Discover the Samsung A50 a50 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple iphone 12 pro max,Apple Apple iphone 12 pro max iphone 12 pro max,Apple,iphone 12 pro max,5,10,False,Apple iphone 12 pro max - Apple - Affordable Gadgets,"Explore the Apple iphone 12 pro max by Apple, a high-quality phone.",apple-iphone-12-pro-max,"apple, apple iphone 12 pro max, iphone 12 pro max, phone",,[],"Discover the Apple iphone 12 pro max iphone 12 pro max from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A10S,Samsung Samsung A10S a10s,Samsung,a10s,5,10,False,Samsung A10S - Samsung - Affordable Gadgets,"Explore the Samsung A10S by Samsung, a high-quality phone.",samsung-a10s,"a10s, phone, samsung, samsung a10s",,[],"Discover the Samsung A10S a10s from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung S9,Samsung Samsung S9 s9,Samsung,s9,5,10,False,Samsung S9 - Samsung - Affordable Gadgets,"Explore the Samsung S9 by Samsung, a high-quality phone.",samsung-s9,"phone, s9, samsung, samsung s9",,[],"Discover the Samsung S9 s9 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung s20 plus,Samsung Samsung s20 plus s20 plus,Samsung,s20 plus,5,10,False,Samsung s20 plus - Samsung - Affordable Gadgets,"Explore the Samsung s20 plus by Samsung, a high-quality phone.",samsung-s20-plus,"phone, s20 plus, samsung, samsung s20 plus",,[],"Discover the Samsung s20 plus s20 plus from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung S21FE,Samsung Samsung S21FE s21fe,Samsung,s21fe,5,10,False,Samsung S21FE - Samsung - Affordable Gadgets,"Explore the Samsung S21FE by Samsung, a high-quality phone.",samsung-s21fe,"phone, s21fe, samsung, samsung s21fe",,[],"Discover the Samsung S21FE s21fe from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple iphone 7 plus,Apple Apple iphone 7 plus iphone 7 plus,Apple,iphone 7 plus,5,10,False,Apple iphone 7 plus - Apple - Affordable Gadgets,"Explore the Apple iphone 7 plus by Apple, a high-quality phone.",apple-iphone-7-plus,"apple, apple iphone 7 plus, iphone 7 plus, phone",,[],"Discover the Apple iphone 7 plus iphone 7 plus from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A30s,Samsung Samsung A30s a30s,Samsung,a30s,5,10,False,Samsung A30s - Samsung - Affordable Gadgets,"Explore the Samsung A30s by Samsung, a high-quality phone.",samsung-a30s,"a30s, phone, samsung, samsung a30s",,[],"Discover the Samsung A30s a30s from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A21s,Samsung Samsung A21s a21s,Samsung,a21s,5,10,False,Samsung A21s - Samsung - Affordable Gadgets,"Explore the Samsung A21s by Samsung, a high-quality phone.",samsung-a21s,"a21s, phone, samsung, samsung a21s",,[],"Discover the Samsung A21s a21s from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A53,Samsung Samsung A53 a53,Samsung,a53,5,10,False,Samsung A53 - Samsung - Affordable Gadgets,"Explore the Samsung A53 by Samsung, a high-quality phone.",samsung-a53,"a53, phone, samsung, samsung a53",,[],"Discover the Samsung A53 a53 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple Iphone 7,Apple Apple Iphone 7 iphone 7,Apple,iphone 7,5,10,False,Apple Iphone 7 - Apple - Affordable Gadgets,"Explore the Apple Iphone 7 by Apple, a high-quality phone.",apple-iphone-7,"apple, apple iphone 7, iphone 7, phone",,[],"Discover the Apple Iphone 7 iphone 7 from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung A71,Samsung Samsung A71 a71,Samsung,a71,5,10,False,Samsung A71 - Samsung - Affordable Gadgets,"Explore the Samsung A71 by Samsung, a high-quality phone.",samsung-a71,"a71, phone, samsung, samsung a71",,[],"Discover the Samsung A71 a71 from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Samsung S9 plus,Samsung Samsung S9 plus s9 plus,Samsung,s9 plus,5,10,False,Samsung S9 plus - Samsung - Affordable Gadgets,"Explore the Samsung S9 plus by Samsung, a high-quality phone.",samsung-s9-plus,"phone, s9 plus, samsung, samsung s9 plus",,[],"Discover the Samsung S9 plus s9 plus from Samsung. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
PH,Apple 8 plus,Apple Apple 8 plus 8 plus,Apple,8 plus,5,10,False,Apple 8 plus - Apple - Affordable Gadgets,"Explore the Apple 8 plus by Apple, a high-quality phone.",apple-8-plus,"8 plus, apple, apple 8 plus, phone",,[],"Discover the Apple 8 plus 8 plus from Apple. This phone offers exceptional performance and features, perfect for your needs.",True,,,[],[],False
